,valid_datetime,Day-ahead_Price,Balancing_Price,price_signal,system_imbalance,alpha
0,2020-09-20 23:00:00+00:00,33.3,16,-17.3,-122.83,
1,2020-09-20 23:30:00+00:00,33.3,24.87,-8.43,-10.7331,
2,2020-09-21 00:00:00+00:00,31.02,47.3,16.28,54.9028,
3,2020-09-21 00:30:00+00:00,31.02,29.27,-1.75,-17.5696,
4,2020-09-21 01:00:00+00:00,30.03,29.66,-0.37,-25.4192,
5,2020-09-21 01:30:00+00:00,30.03,28.52,-1.51,-53.9263,
6,2020-09-21 02:00:00+00:00,36.95,46.5,9.55,6.7605,
7,2020-09-21 02:30:00+00:00,36.95,28.85,-8.1,-7.6322,
8,2020-09-21 03:00:00+00:00,45.76,43.29006,-2.46994,123.8552,
9,2020-09-21 03:30:00+00:00,45.76,43.29006,-2.46994,123.6272,
10,2020-09-21 04:00:00+00:00,52.1,54.22,2.12,229.6365,
11,2020-09-21 04:30:00+00:00,52.1,20.5,-31.6,-195.0923,
12,2020-09-21 05:00:00+00:00,75.86,2,-73.86,-389.2005,
13,2020-09-21 05:30:00+00:00,75.86,15,-60.86,-347.8435,
14,2020-09-21 06:00:00+00:00,67.43,15,-52.43,-367.6159,
15,2020-09-21 06:30:00+00:00,67.43,25,-42.43,-16.6928,
16,2020-09-21 07:00:00+00:00,61.06,69,7.94,167.1087,
17,2020-09-21 07:30:00+00:00,61.06,46.4,-14.66,65.7849,
18,2020-09-21 08:00:00+00:00,62.37,22.5,-39.87,-33.1499,
19,2020-09-21 08:30:00+00:00,62.37,20.5,-41.87,-287.2109,
20,2020-09-21 09:00:00+00:00,58.85,20.5,-38.35,-49.5805,
21,2020-09-21 09:30:00+00:00,58.85,15,-43.85,-243.8311,
22,2020-09-21 10:00:00+00:00,51.96,20.5,-31.46,-126.9721,
23,2020-09-21 10:30:00+00:00,51.96,30,-21.96,15.5623,
24,2020-09-21 11:00:00+00:00,49.09,15,-34.09,-220.5341,
25,2020-09-21 11:30:00+00:00,49.09,15,-34.09,-240.6334,
26,2020-09-21 12:00:00+00:00,46.81,20.5,-26.31,-90.1417,
27,2020-09-21 12:30:00+00:00,46.81,15,-31.81,-254.7036,
28,2020-09-21 13:00:00+00:00,49.98,15,-34.98,-275.4167,
29,2020-09-21 13:30:00+00:00,49.98,15,-34.98,-431.6165,
30,2020-09-21 14:00:00+00:00,60.79,15,-45.79,-530.9902,
31,2020-09-21 14:30:00+00:00,60.79,50,-10.79,147.397,
32,2020-09-21 15:00:00+00:00,84.93,26,-58.93,-36.1367,
33,2020-09-21 15:30:00+00:00,84.93,44.32,-40.61,96.5841,
34,2020-09-21 16:00:00+00:00,187.1,20.5,-166.6,-272.6485,
35,2020-09-21 16:30:00+00:00,187.1,60,-127.1,74.3082,
36,2020-09-21 17:00:00+00:00,124,20.5,-103.5,-39.9643,
37,2020-09-21 17:30:00+00:00,124,59.9,-64.1,114.2707,
38,2020-09-21 18:00:00+00:00,66,27,-39,-42.9897,
39,2020-09-21 18:30:00+00:00,66,69,3,91.1672,
40,2020-09-21 19:00:00+00:00,53.17,24.36647,-28.80353,-275.116,
41,2020-09-21 19:30:00+00:00,53.17,20.5,-32.67,-340.0528,
42,2020-09-21 20:00:00+00:00,46.76,15,-31.76,-281.7762,
43,2020-09-21 20:30:00+00:00,46.76,33.2,-13.56,-107.9367,
44,2020-09-21 21:00:00+00:00,42.33,54,11.67,361.101,
45,2020-09-21 21:30:00+00:00,42.33,53.5,11.17,44.1448,
46,2020-09-21 22:00:00+00:00,38.05,33.2,-4.85,-21.0268,
47,2020-09-21 22:30:00+00:00,38.05,53.9,15.85,163.3445,
48,2020-09-21 23:00:00+00:00,37.1,20.69884,-16.40116,-27.2661,
49,2020-09-21 23:30:00+00:00,37.1,30,-7.1,24.1808,
50,2020-09-22 00:00:00+00:00,35.9,49.5,13.6,90.015,
51,2020-09-22 00:30:00+00:00,35.9,49,13.1,104.1815,
52,2020-09-22 01:00:00+00:00,35.9,47.25,11.35,164.7811,
53,2020-09-22 01:30:00+00:00,35.9,30,-5.9,69.4587,
54,2020-09-22 02:00:00+00:00,37.06,20.5,-16.56,-106.5178,
55,2020-09-22 02:30:00+00:00,37.06,0.6,-36.46,-409.9203,
56,2020-09-22 03:00:00+00:00,38.03,0.6,-37.43,-387.8267,
57,2020-09-22 03:30:00+00:00,38.03,0,-38.03,-473.7327,
58,2020-09-22 04:00:00+00:00,48.02,0,-48.02,-550.7429,
59,2020-09-22 04:30:00+00:00,48.02,2,-46.02,-370.5349,
60,2020-09-22 05:00:00+00:00,65.6,30,-35.6,44.1583,
61,2020-09-22 05:30:00+00:00,65.6,60,-5.6,574.6877,
62,2020-09-22 06:00:00+00:00,57,58.75,1.75,248.12,
63,2020-09-22 06:30:00+00:00,57,58.75,1.75,302.9656,
64,2020-09-22 07:00:00+00:00,52.85,61.5,8.65,491.5494,
65,2020-09-22 07:30:00+00:00,52.85,26.12,-26.73,201.9164,
66,2020-09-22 08:00:00+00:00,42,58.75,16.75,425.1417,
67,2020-09-22 08:30:00+00:00,42,26.18,-15.82,95.033,
68,2020-09-22 09:00:00+00:00,37.51,40,2.49,62.927,
69,2020-09-22 09:30:00+00:00,37.51,26.2,-11.31,-13.0843,
70,2020-09-22 10:00:00+00:00,33.97,46.5,12.53,85.4032,
71,2020-09-22 10:30:00+00:00,33.97,30,-3.97,45.5516,
72,2020-09-22 11:00:00+00:00,32.9,40,7.1,91.5615,
73,2020-09-22 11:30:00+00:00,32.9,30,-2.9,49.8729,
74,2020-09-22 12:00:00+00:00,31.95,30,-1.95,3.1353,
75,2020-09-22 12:30:00+00:00,31.95,40,8.05,61.8106,
76,2020-09-22 13:00:00+00:00,32,26.63,-5.37,-73.5903,
77,2020-09-22 13:30:00+00:00,32,44.6,12.6,250.9832,
78,2020-09-22 14:00:00+00:00,37.59,57.85013,20.26013,138.7717,
79,2020-09-22 14:30:00+00:00,37.59,61.2,23.61,387.7081,
80,2020-09-22 15:00:00+00:00,54.77,65.89,11.12,471.467,
81,2020-09-22 15:30:00+00:00,54.77,70.2,15.43,554.3199,
82,2020-09-22 16:00:00+00:00,60,72.2,12.2,737.9051,
83,2020-09-22 16:30:00+00:00,60,69.45,9.45,664.6427,
84,2020-09-22 17:00:00+00:00,62,67.2,5.2,261.2871,
85,2020-09-22 17:30:00+00:00,62,28,-34,-63.8751,
86,2020-09-22 18:00:00+00:00,49.79,58.69,8.9,71.1674,
87,2020-09-22 18:30:00+00:00,49.79,26.83,-22.96,-128.6403,
88,2020-09-22 19:00:00+00:00,41.57,26.81,-14.76,-336.7067,
89,2020-09-22 19:30:00+00:00,41.57,26.87,-14.7,-162.8597,
90,2020-09-22 20:00:00+00:00,37.54,30,-7.54,18.921,
91,2020-09-22 20:30:00+00:00,37.54,27,-10.54,-182.3643,
92,2020-09-22 21:00:00+00:00,36.56,54.9,18.34,165.6034,
93,2020-09-22 21:30:00+00:00,36.56,54.9,18.34,141.1333,
94,2020-09-22 22:00:00+00:00,35.86,41.75,5.89,240.795,
95,2020-09-22 22:30:00+00:00,35.86,44.5,8.64,411.8084,
96,2020-09-22 23:00:00+00:00,34.77,44.5,9.73,472.6731,
97,2020-09-22 23:30:00+00:00,34.77,44.35,9.58,307.9798,
98,2020-09-23 00:00:00+00:00,33.7,49.45,15.75,277.0199,
99,2020-09-23 00:30:00+00:00,33.7,49.45,15.75,525.3131,
100,2020-09-23 01:00:00+00:00,32.63,49.4,16.77,255.1368,
101,2020-09-23 01:30:00+00:00,32.63,45,12.37,4.0922,
102,2020-09-23 02:00:00+00:00,35.22,30,-5.22,83.3347,
103,2020-09-23 02:30:00+00:00,35.22,48.9,13.68,309.5172,
104,2020-09-23 03:00:00+00:00,39.85,48.9,9.05,435.7677,
105,2020-09-23 03:30:00+00:00,39.85,48.9,9.05,449.6486,
106,2020-09-23 04:00:00+00:00,47.61,53.89933,6.28933,526.653,
107,2020-09-23 04:30:00+00:00,47.61,54.45,6.84,356.835,
108,2020-09-23 05:00:00+00:00,52.18,54.45,2.27,218.7626,
109,2020-09-23 05:30:00+00:00,52.18,49,-3.18,74.9677,
110,2020-09-23 06:00:00+00:00,54.4,21.5,-32.9,-323.5708,
111,2020-09-23 06:30:00+00:00,54.4,26.57,-27.83,-35.5769,
112,2020-09-23 07:00:00+00:00,52.73,26.57,-26.16,-250.7888,
113,2020-09-23 07:30:00+00:00,52.73,30,-22.73,10.2721,
114,2020-09-23 08:00:00+00:00,54.13,62,7.87,78.1857,
115,2020-09-23 08:30:00+00:00,54.13,62,7.87,337.3888,
116,2020-09-23 09:00:00+00:00,50.36,62,11.64,251.3314,
117,2020-09-23 09:30:00+00:00,50.36,62,11.64,192.0842,
118,2020-09-23 10:00:00+00:00,54,60,6,173.0491,
119,2020-09-23 10:30:00+00:00,54,60,6,90.0757,
120,2020-09-23 11:00:00+00:00,52,69.95,17.95,316.6911,
121,2020-09-23 11:30:00+00:00,52,68.89,16.89,363.8137,
122,2020-09-23 12:00:00+00:00,47.51,68.89,21.38,342.7045,
123,2020-09-23 12:30:00+00:00,47.51,27.27,-20.24,-67.7225,
124,2020-09-23 13:00:00+00:00,46,27.2,-18.8,-556.1282,
125,2020-09-23 13:30:00+00:00,46,21.33,-24.67,-740.9396,
126,2020-09-23 14:00:00+00:00,54.99,20.5,-34.49,-466.2759,
127,2020-09-23 14:30:00+00:00,54.99,83.5,28.51,144.851,
128,2020-09-23 15:00:00+00:00,70.6,40.5,-30.1,51.3101,
129,2020-09-23 15:30:00+00:00,70.6,50.5,-20.1,96.6005,
130,2020-09-23 16:00:00+00:00,75.32,40.5,-34.82,27.2268,
